Date,District,PM2.5,PM10,NO2,SO2
31-03-17,Kolkata,47,85.95,31.49,4.57
01-04-17,Kolkata,52,97.35,32.46,5.1
02-04-17,Kolkata,48,82.29,29.59,4.34
03-04-17,Kolkata,45,91.24,30.91,5.07
04-04-17,Kolkata,38,74.37,26.05,3.69
05-04-17,Kolkata,63,109.71,37.42,5.82
06-04-17,Kolkata,46,88.28,30.39,3.76
07-04-17,Kolkata,41,64.47,29.17,4.17
08-04-17,Kolkata,44,73.07,31.2,4.37
09-04-17,Kolkata,40,75.46,29.48,4.17
10-04-17,Kolkata,42,81.4,31.02,3.53
11-04-17,Kolkata,38,73.51,25.89,3.14
12-04-17,Kolkata,62,115.03,38.03,5.2
13-04-17,Kolkata,75,122.18,38.08,5.46
14-04-17,Kolkata,66,99.74,37.03,21.07
15-04-17,Kolkata,45,91.76,30.04,3.64
16-04-17,Kolkata,49,94.27,36.85,4.93
17-04-17,Kolkata,53,96.42,30.07,4.2
18-04-17,Kolkata,41,79.13,28.44,3.98
19-04-17,Kolkata,53,91.36,33.63,4.71
20-04-17,Kolkata,35,88.76,31.17,4.25
21-04-17,Kolkata,45,89.59,32.51,4.77
22-04-17,Kolkata,40,76.27,32.8,6.05
23-04-17,Kolkata,43,95.48,30.21,5.25
24-04-17,Kolkata,47,91.35,34.14,4.32
25-04-17,Kolkata,38,76.95,30.57,3.81
26-04-17,Kolkata,47,87.34,32.79,4.4
27-04-17,Kolkata,66,110.98,36.18,6.06
28-04-17,Kolkata,61,103.23,33.41,5.7
29-04-17,Kolkata,51,92.63,31.62,4.58
30-04-17,Kolkata,48,100.06,33.73,5.59
01-05-17,Kolkata,41,80.64,29.89,4.42
02-05-17,Kolkata,38,64.22,25.43,3.24
03-05-17,Kolkata,36,72.18,28.19,3.94
04-05-17,Kolkata,39,71.86,31.7,3.49
05-05-17,Kolkata,48,84.44,33.64,4.26
06-05-17,Kolkata,54,90.67,31.71,5.7
07-05-17,Kolkata,51,88.24,32.83,6.61
08-05-17,Kolkata,40,75.11,28.84,6.1
09-05-17,Kolkata,36,72.89,28.23,5.69
10-05-17,Kolkata,50,84.72,29.77,5.63
11-05-17,Kolkata,35,67.14,33.35,5.08
12-05-17,Kolkata,43,79.52,34.72,7.18
13-05-17,Kolkata,44,87.23,32.51,6.11
14-05-17,Kolkata,29,74.63,33.61,6.74
15-05-17,Kolkata,41,74.34,33.71,6.45
16-05-17,Kolkata,32,65.04,29,4.73
17-05-17,Kolkata,41,70.71,31.36,5.66
18-05-17,Kolkata,50,78.3,32.18,4.72
19-05-17,Kolkata,57,100.2,33.5,6.97
20-05-17,Kolkata,44,98.24,34.97,13.56
21-05-17,Kolkata,39,82.48,30.39,43.92
22-05-17,Kolkata,52,95.2,31.23,21.92
23-05-17,Kolkata,43,78.17,27.29,33.83
24-05-17,Kolkata,42,89.82,31.42,8.2
25-05-17,Kolkata,47,95.97,31.81,5.18
26-05-17,Kolkata,40,75.83,28.42,3
27-05-17,Kolkata,37,74.75,29.88,2.92
28-05-17,Kolkata,39,77.92,30.83,3.04
29-05-17,Kolkata,34,67.33,28.13,2.46
30-05-17,Kolkata,33,70.92,26.29,2.08
31-05-17,Kolkata,35,79.75,28.58,3.25
01-06-17,Kolkata,40,84.38,30.58,3.21
02-06-17,Kolkata,47,87.17,30.29,3.46
03-06-17,Kolkata,33,63.5,26.04,2.5
04-06-17,Kolkata,35,58.75,26.54,2.33
05-06-17,Kolkata,32,60.67,27.92,2.25
06-06-17,Kolkata,29,57.42,25.63,2.21
07-06-17,Kolkata,40,58.74,29.09,6.04
08-06-17,Kolkata,39,73.32,28.65,4.51
09-06-17,Kolkata,48,86.41,32.25,7.83
10-06-17,Kolkata,43,82.73,34.42,7.15
11-06-17,Kolkata,38,65.1,30.41,7.05
12-06-17,Kolkata,42,62.25,31.04,7.54
13-06-17,Kolkata,33,54.84,27.02,6.06
14-06-17,Kolkata,49,79.57,37.43,6.47
15-06-17,Kolkata,40,74.63,31.82,6.89
